file_name,duration,analyse_harmonics,get_number_sylls,get_number_words,pauses,get_max_intensity,analyse_intensity,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,mean_spectral_rolloff,get_energy,parent_file_train,number_of_segments_train,number_of_voices_parent_train,extra_sounds_train,parent_label_train,segment_label_train,noisy_train,Notes_train
03mglec8fez51_processed_11,10.0,9.498355446,3.3,2.7,0.4,103.3352913,67.29493557,186.1028545,443.0640386,0.131820543,0.032682288,-0.013855681,1196.948029,0.021849884,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_12,10.0,7.387691924,,,0.1,100.6606503,68.14803837,146.9032731,504.5373015,0.170577882,0.026664042,-0.01530751,618.7809672,0.026769663,03mglec8fez51,26,1,"calm music, crowd cheering",1,0,0,
03mglec8fez51_processed_13,10.0,5.512821509,2.3,1.4,0.1,99.96835679,66.95220051,190.3524725,315.7593664,0.16200809,0.040114333,-0.014752511,806.2297616,0.01979241,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_14,10.0,7.84344082,3.6,2.8,0.2,101.5838259,66.63180864,146.5220944,289.9421483,0.142677722,0.027760252,-0.011379798,865.7135124,0.018321898,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_15,10.0,8.754561668,4.2,2.5,0.1,99.57778329,66.99396261,186.0488216,332.0880091,0.14161945,0.031045086,-0.012532406,993.3036585,0.019940951,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_16,10.0,9.583637733,4.1,2.2,0.2,101.7765692,67.82272059,193.6660801,510.7848278,0.137411784,0.026332566,-0.016266704,1195.973295,0.024253459,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_17,10.0,8.658680721,4.1,3.0,0.2,100.5627407,68.05616377,174.6801491,357.9111586,0.13188628,0.028631741,-0.016465245,879.4597573,0.025740164,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_18,10.0,8.217182789,4.2,2.7,0.4,98.77095742,66.91707878,196.5008621,506.8926012,0.152001112,0.031923629,-0.012864957,1165.006754,0.020056662,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_19,10.0,8.555058247,2.1,1.3,0.1,102.5767916,68.35528876,211.6801619,520.4905037,0.167081322,0.038472986,-0.018566985,1212.493782,0.02740382,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_2,10.0,8.381284665,,,0.3,97.40419128,66.49420115,292.024138,384.2523471,0.153843198,0.047826095,-0.014874323,348.0049352,0.017860018,03mglec8fez51,26,0,calm music,1,0,0,
03mglec8fez51_processed_20,10.0,9.391523799,1.9,1.2,0.4,105.211273,70.36943891,249.085052,489.9627014,0.166671025,0.037057614,-0.019321467,991.929034,0.043313991,03mglec8fez51,26,1,"calm music, crowd cheering",1,0,0,
03mglec8fez51_processed_21,10.0,10.91990137,5.1,3.6,0.8,100.8087917,66.7079704,201.1454921,243.8383241,0.126622187,0.025061053,-0.012490511,1287.848198,0.018659807,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_22,10.0,11.23812365,3.1,2.2,0.6,103.1173995,66.98564401,212.9298196,353.686753,0.112723184,0.025638325,-0.012913656,1241.210938,0.019888872,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_23,10.0,10.49583314,4.5,3.6,0.2,104.4305989,68.29333278,199.3581187,508.5115763,0.130013652,0.02727217,-0.017721183,1295.071224,0.026921665,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_24,10.0,8.224545867,0.9,0.6,0.1,108.3917329,69.04833561,236.3229924,521.5952149,0.168078579,0.032841357,-0.020908571,950.8402583,0.032104853,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_25,4.930022676,10.0616553,4.259634888,3.245436105,0.202839757,101.5226809,68.31804234,248.5853057,436.7089007,0.149590311,0.043709094,-0.018397388,970.009642,0.013392532,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_3,10.0,10.19281798,2.3,1.6,0.8,108.2936487,69.20615226,147.1615753,487.7620698,0.127303404,0.025204623,-0.023358337,773.263767,0.033225684,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_4,10.0,12.53558163,4.8,3.0,0.3,104.3589558,68.96759145,186.4181201,338.1473596,0.100872181,0.021286709,-0.020163827,1390.145253,0.031382354,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_5,10.0,10.06666701,3.6,2.5,0.4,100.145607,64.61478107,177.5817569,219.7642838,0.138676522,0.030187238,-0.007667304,1175.753818,0.011634466,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_6,10.0,10.16308737,4.0,2.9,1.0,99.51631029,65.63346725,215.9367664,441.976604,0.148012082,0.032061827,-0.009803845,1161.357751,0.0147103,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_7,10.0,5.442863494,1.8,1.4,0.1,97.50504342,65.51312895,108.8756636,320.8972363,0.168699175,0.02900928,-0.011282557,674.365783,0.014256063,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_8,10.0,4.720432641,,,0.1,97.14038295,66.02018947,146.2666513,523.7508811,0.160630362,0.025605116,-0.013560037,401.0654407,0.01601153,03mglec8fez51,26,0,calm music,1,0,0,
03mglec8fez51_processed_9,10.0,9.791751765,3.2,2.0,0.2,106.3538363,69.3104214,199.307385,514.2436929,0.137677781,0.027253125,-0.022328303,1021.945834,0.033955531,03mglec8fez51,26,1,calm music,1,1,0,
0653ipqy7vd71_processed_0,10.0,7.316915968,2.8,1.8,0.5,108.4919364,75.06443919,109.5093974,524.9558812,0.15494903,0.032669857,-0.080079724,1255.831943,0.127863957,0653ipqy7vd71,7,2,,2,0,0,
0653ipqy7vd71_processed_1,10.0,5.33058871,2.5,2.2,0.1,106.4879868,74.40927361,172.8851453,493.599257,0.17951074,0.033933885,-0.046065714,1191.474524,0.109925744,0653ipqy7vd71,7,1,,2,2,0,
0653ipqy7vd71_processed_2,10.0,5.198195888,3.6,3.0,0.1,105.6732481,74.30805863,163.1085721,502.8079282,0.173266536,0.035453871,-0.043108161,1069.882739,0.107452271,0653ipqy7vd71,7,1,,2,2,0,
0653ipqy7vd71_processed_3,10.0,6.572209694,,,0.1,104.950322,73.97451785,169.9105993,509.4907648,0.17699139,0.027945203,-0.033989763,1182.576955,0.100397543,0653ipqy7vd71,7,1,,2,2,0,
0653ipqy7vd71_processed_4,10.0,6.150334482,0.4,0.2,0.1,105.204022,73.77396652,334.0829596,504.2864695,0.170610304,0.04479708,-0.033151037,1137.864169,0.096137998,0653ipqy7vd71,7,1,,2,2,0,
0653ipqy7vd71_processed_5,10.0,6.348618964,2.9,2.6,0.1,105.4966525,74.34953222,300.1552248,497.413344,0.196809103,0.049166293,-0.038277625,1106.722676,0.109419532,0653ipqy7vd71,7,1,,2,2,0,
0653ipqy7vd71_processed_6,2.733015873,4.808502552,,,0.36589828,104.8593,72.58367894,136.6376447,501.7023026,0.18550273,0.045026948,-0.022181313,984.4307399,0.02002721,0653ipqy7vd71,7,1,,2,2,0,
065hfyuu0ya61_processed_0,10.0,5.193746323,0.7,0.4,0.1,108.9923411,77.97137891,111.9803058,517.6054997,0.170550406,0.026392328,-0.158431835,665.6931521,0.249953543,065hfyuu0ya61,3,3,guitar,0,0,0,
065hfyuu0ya61_processed_1,10.0,6.067687359,0.7,0.3,0.1,108.5133663,74.15471782,153.1746836,502.4738292,0.182192349,0.036535125,-0.073611854,575.4178127,0.10403976,065hfyuu0ya61,3,2,guitar,0,0,0,
065hfyuu0ya61_processed_2,8.863038549,6.371026337,0.451314453,0.225657227,0.112828613,109.582114,75.28551646,145.3145743,346.9495211,0.196966747,0.033426472,-0.100271072,531.1660982,0.119948447,065hfyuu0ya61,3,3,guitar,0,0,0,
08ss0a3zs0061_processed_0,10.0,2.51994787,,,0.1,113.0844314,77.58435002,210.2344229,510.426754,0.148397271,0.031273318,-0.105663572,1374.149623,0.228120028,08ss0a3zs0061,2,1,car crash,2,2,0,
095x9borh0z61_processed_0,10.0,9.343948765,,,1.0,104.2085517,67.73544985,197.2305769,506.561024,0.133742467,0.011845045,-0.013614138,1411.38945,0.02362381,095x9borh0z61,19,3,,2,0,0,
095x9borh0z61_processed_1,10.0,3.789687357,0.2,0.1,0.1,101.2830188,68.58733104,173.929422,508.2548413,0.168635393,0.026062457,-0.017570284,1423.311193,0.028742287,095x9borh0z61,19,4,,2,0,0,
095x9borh0z61_processed_10,10.0,8.610178487,0.4,0.3,0.8,107.7911215,71.77775181,170.4655706,501.3828256,0.127227483,0.021228056,-0.03377995,1264.254643,0.059939987,095x9borh0z61,19,2,,2,0,0,
095x9borh0z61_processed_11,10.0,9.02048862,0.9,0.6,1.5,103.7596839,69.99357453,204.6829094,517.1341733,0.130236713,0.023908989,-0.027064774,1216.567669,0.039741446,095x9borh0z61,19,2,,2,1,0,
095x9borh0z61_processed_17,10.0,7.840000928,,,0.6,105.4429245,70.52099419,200.8466789,496.1978571,0.164249012,0.017394078,-0.0279196,1272.277451,0.045409024,095x9borh0z61,19,2,,2,1,0,
095x9borh0z61_processed_18,8.06,7.726422708,0.620347395,0.372208437,0.248138958,109.0601748,74.99821428,216.5052166,522.8299429,0.137749549,0.021470872,-0.074090123,1204.859683,0.106065393,095x9borh0z61,19,2,,2,2,0,
095x9borh0z61_processed_2,10.0,7.216319284,0.4,0.4,1.4,100.0932066,65.03833889,153.7724333,515.3106017,0.144006662,0.021491756,-0.008179112,1329.261885,0.012702934,095x9borh0z61,19,2,,2,0,0,
095x9borh0z61_processed_3,10.0,5.845394001,0.4,0.4,0.8,101.6305503,66.34846248,126.9464,518.0474633,0.152622129,0.030845417,-0.011438211,1216.917574,0.017184641,095x9borh0z61,19,2,,2,0,0,
095x9borh0z61_processed_4,10.0,7.606978683,2.0,1.0,1.0,100.4304513,65.12427972,125.6589483,516.3695415,0.14755811,0.025626815,-0.008397128,1212.818693,0.012991727,095x9borh0z61,19,2,,2,0,0,
095x9borh0z61_processed_5,10.0,7.122438432,,,0.1,101.5745456,64.91889079,155.8500988,499.8115356,0.14832349,0.03137963,-0.007695638,1435.932745,0.012354272,095x9borh0z61,19,2,children playing,2,0,0,
095x9borh0z61_processed_6,10.0,6.25128368,0.5,0.2,0.6,107.3628367,69.71331307,180.9018835,385.0493426,0.152189814,0.021189737,-0.021238998,1135.939695,0.037241672,095x9borh0z61,19,2,,2,1,0,
095x9borh0z61_processed_7,10.0,8.466682963,1.9,1.3,1.3,102.8893395,69.23844984,129.7654221,400.7687745,0.127106051,0.019455414,-0.019392515,1742.848905,0.033402441,095x9borh0z61,19,2,,2,0,0,
095x9borh0z61_processed_8,10.0,5.489764199,0.7,0.2,0.7,99.82850124,64.17046732,100.7440227,521.7451413,0.149266186,0.034981945,-0.004850241,1768.716838,0.010397569,095x9borh0z61,19,1,,2,0,0,
095x9borh0z61_processed_9,10.0,6.040846453,1.9,1.0,0.5,101.3777513,68.02601501,124.853279,519.8739302,0.155725685,0.025836822,-0.015019135,1299.195098,0.025346984,095x9borh0z61,19,2,,2,0,0,
09etqbnf0uc61_processed_0,10.0,9.360530071,4.6,2.1,0.2,108.9210668,78.7944513,182.8891546,504.8139792,0.094636445,0.019123987,-0.179916163,2524.985248,0.301682227,09etqbnf0uc61,3,2,,0,0,0,
09etqbnf0uc61_processed_1,10.0,8.67103196,4.3,2.8,0.5,109.2091091,76.26331288,185.2677945,509.033132,0.101582992,0.018741379,-0.085635804,2206.747181,0.169879561,09etqbnf0uc61,3,2,,0,0,0,
09etqbnf0uc61_processed_2,6.910022676,4.832865405,0.289435601,0.1447178,0.1447178,108.2589397,77.03627171,219.2319091,499.2938244,0.173476054,0.024538642,-0.089941831,1778.052375,0.139028081,09etqbnf0uc61,3,9999,,0,0,1,
0ailv3uq2lw61_processed_0,10.0,-0.06061838,,,0.1,107.0844019,73.55713196,249.7949456,495.3377661,0.202878807,0.026242246,-0.046868428,1145.162175,0.091566487,0ailv3uq2lw61,4,2,Gunshots,1,1,0,Too noisy to understand anything
0ailv3uq2lw61_processed_1,10.0,1.610452743,,,0.1,108.7373605,75.92496615,473.323866,366.8680868,0.172896722,0.039973908,-0.077599169,1244.085152,0.157017587,0ailv3uq2lw61,4,1,"Gunshots, engine, shouting",1,1,0,Too noisy to understand anything
0ailv3uq2lw61_processed_2,10.0,-0.857991629,,,0.1,94.55284487,62.27468586,201.0359141,371.3221009,0.209944527,0.05066838,-0.004444345,815.5022287,0.006749887,0ailv3uq2lw61,4,3,engine,1,1,0,Too noisy to understand anything
0ailv3uq2lw61_processed_3,6.917006803,1.951489307,,,0.144571346,101.2647307,67.31039998,157.6213675,518.1996079,0.205729777,0.051879614,-0.017565982,314.1693225,0.014786961,0ailv3uq2lw61,4,3,engine,1,1,0,Too noisy to understand anything
0c7qgddd16l51_processed_0,10.0,7.28413527,0.2,0.1,0.1,104.2158276,69.04205652,219.1486634,381.0809438,0.181281153,0.032402997,-0.017819585,1345.407474,0.031990055,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_1,10.0,7.333048393,,,0.1,104.9064252,69.77617259,212.6407374,327.7459738,0.165535613,0.028013006,-0.023459521,1273.077233,0.037932484,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_10,10.0,7.89694687,,,0.1,103.6094842,69.71553698,207.042225,472.2462397,0.151020394,0.027493401,-0.020155291,1602.737179,0.03730475,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_11,10.0,10.79674993,2.2,1.7,0.1,105.798535,71.03840553,191.030425,222.5754377,0.119427188,0.026024501,-0.035378374,1130.841087,0.050519514,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_12,10.0,8.526915906,0.6,0.5,0.1,102.5479707,69.2561801,210.4893867,389.3192647,0.155751807,0.02944116,-0.020651175,1049.08842,0.033518385,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_13,10.0,9.038840559,0.4,0.4,0.1,104.485469,70.21916961,220.0206652,517.1836006,0.145449918,0.031304393,-0.024197973,1401.967024,0.041887612,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_14,10.0,8.535801827,0.2,0.2,0.1,104.6233377,71.71550924,249.4227611,490.4999505,0.151168039,0.02190853,-0.032692048,1343.907884,0.059103115,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_15,10.0,8.881356362,0.7,0.4,0.1,104.1852235,71.22839031,219.9838806,520.0463396,0.150271596,0.027085329,-0.03270938,1224.415526,0.052841452,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_16,10.0,7.381051288,,,0.2,105.9706445,72.71093737,239.2114505,475.3218209,0.160321678,0.029390407,-0.034056763,1795.759451,0.074347876,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_17,10.0,5.896177609,0.2,0.1,0.1,102.3659521,67.72934737,214.8751048,501.2009701,0.148757681,0.028971835,-0.012124304,1983.258232,0.023724676,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_18,9.633015873,8.59500293,0.311429461,0.311429461,0.10380982,103.9848676,69.94258396,212.5450683,237.2740193,0.155703028,0.025830539,-0.025149936,1050.584546,0.037815618,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_2,10.0,8.152879538,0.2,0.1,0.1,107.0018607,71.90829018,234.4903332,398.6145658,0.165882514,0.0273688,-0.037957789,1487.49366,0.062217822,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_3,10.0,9.140210215,,,0.2,103.0697669,69.02408886,214.7187117,298.8198014,0.147000713,0.023057847,-0.018389798,1106.547724,0.031863319,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_4,10.0,9.291727564,0.9,0.4,0.1,102.8337912,68.35561735,203.1027973,383.1271979,0.160087253,0.022615426,-0.017390539,863.3141678,0.027352074,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_5,10.0,7.199107595,2.1,1.2,0.1,101.9886808,68.34255093,218.9397563,247.0189624,0.161662482,0.033528473,-0.016703175,1623.931389,0.027335812,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_6,10.0,9.182698115,0.3,0.3,0.1,102.6644872,67.18502783,216.5795884,522.0624902,0.162225366,0.02469823,-0.012136541,1104.54827,0.021667648,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_7,10.0,8.52502234,0.7,0.6,0.1,105.6929016,71.94070097,213.5300766,370.4094632,0.152548524,0.027599195,-0.037447291,1344.607693,0.06235859,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_8,10.0,8.272817546,0.2,0.2,0.1,103.4439677,67.12497783,205.3335171,493.2341028,0.169222432,0.025485011,-0.009935071,1210.894219,0.020625641,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_9,10.0,6.274674307,,,0.1,107.7228991,70.0723433,230.8503589,518.5577013,0.179265492,0.032308647,-0.026729463,1084.253814,0.040678133,0c7qgddd16l51,19,3,laughing,0,0,0,
0cho11mt05y51_processed_0,10.0,3.707670316,,,0.1,107.2829609,77.33845693,107.0776878,523.5831542,0.161535251,0.027049241,-0.157908529,903.5031894,0.216111239,0cho11mt05y51,2,9999,music,0,0,1,
0cho11mt05y51_processed_1,7.983038549,3.047947966,,,0.125266191,106.6858698,77.36586757,92.17248727,522.0850578,0.185772183,0.061172209,-0.155680761,836.378479,0.173381834,0cho11mt05y51,2,9999,music,0,0,1,
0cmcfw7ucae71_processed_0,10.0,13.85201815,,,0.4,106.201735,70.08394329,367.6742334,484.9150524,0.098059623,0.017621893,-0.012506444,1775.19007,0.04205901,0cmcfw7ucae71,3,1,Donkey noise,0,0,0,
0cmcfw7ucae71_processed_1,10.0,6.574262304,0.7,0.2,0.6,108.3231694,75.15445629,240.397454,515.8259092,0.178251501,0.037504737,-0.089801166,1147.161629,0.131515466,0cmcfw7ucae71,3,1,Donkey noise,0,0,0,
0cmcfw7ucae71_processed_2,7.470022676,8.472634255,,,0.535475234,107.7556934,73.15948347,288.3184549,467.0230434,0.152822378,0.03219647,-0.058827618,760.9761386,0.061451242,0cmcfw7ucae71,3,1,Donkey noise,0,0,0,
0d9lcxq7sxf61_processed_0,10.0,6.439400662,0.9,0.9,0.1,111.653115,81.08386277,267.7536453,518.0509735,0.150861644,0.025000706,-0.228537519,1604.861599,0.512276773,0d9lcxq7sxf61,3,4,"motorbike, music",0,0,0,
0d9lcxq7sxf61_processed_1,10.0,4.568911341,,,0.1,112.6711321,81.51442181,263.882017,522.1814925,0.196606958,0.047763629,-0.253143276,1280.950082,0.565823112,0d9lcxq7sxf61,3,9999,"music, people shouting",0,0,1,
0d9lcxq7sxf61_processed_2,1.923038549,6.601873907,,,0.520020801,111.3697212,84.01866822,214.3338073,339.0872265,0.19217526,0.053760426,-0.496980963,1172.312551,0.188261437,0d9lcxq7sxf61,3,9999,"music, people shouting",0,0,1,
0f520cf07s571_processed_0,10.0,1.761801515,,,0.1,96.889398,63.97784887,105.1817449,376.1564267,0.194535275,0.038068491,-0.006590133,1022.495684,0.009949043,0f520cf07s571,2,3,"Water splashing, gasp",1,1,0,
0f520cf07s571_processed_1,6.323038549,0.265177498,,,0.158152776,93.55594075,62.10293708,125.4596379,227.2015025,0.170361416,0.057299036,-0.005142669,770.4558062,0.004085445,0f520cf07s571,2,2,water body,1,0,0,
0f8jowocy1j51_processed_0,10.0,7.9730862,0.2,0.1,0.1,111.0500085,79.13657608,406.1911651,509.5653101,0.108555205,0.017155412,-0.116530947,1551.551162,0.326341098,0f8jowocy1j51,6,3,,2,2,0,
0f8jowocy1j51_processed_1,10.0,8.117917813,,,0.8,110.8348854,78.35739433,413.4895336,521.9088262,0.126772987,0.022961516,-0.058818081,2000.953398,0.272639241,0f8jowocy1j51,6,2,,2,2,0,
0f8jowocy1j51_processed_2,10.0,8.315862549,0.8,0.7,0.1,110.6308288,78.00001964,382.139856,512.6961518,0.134464356,0.017407965,-0.072758577,1347.831812,0.251015375,0f8jowocy1j51,6,2,,2,2,0,
0f8jowocy1j51_processed_3,10.0,4.020777006,0.1,0.1,0.1,112.2126526,77.61951061,339.1486009,496.7876266,0.117825019,0.018173106,-0.120646215,804.5552191,0.230173066,0f8jowocy1j51,6,3,,2,2,0,
0f8jowocy1j51_processed_4,10.0,2.485957863,,,0.2,109.9308208,77.07503949,378.383944,501.5810529,0.164527085,0.025881513,-0.128985992,803.9803761,0.203013915,0f8jowocy1j51,6,3,,2,2,0,
0fi5aogp5bg51_processed_0,10.0,0.539165838,,,0.1,103.714711,74.13685772,356.6827425,500.247467,0.225450942,0.039402308,-0.057824821,963.9616739,0.103517387,0fi5aogp5bg51,5,3,siren,2,1,0,
0fi5aogp5bg51_processed_1,10.0,0.179555704,,,0.1,101.7164973,72.30726396,335.4070511,345.0664479,0.23224387,0.039488308,-0.042317196,934.2697848,0.068238657,0fi5aogp5bg51,5,3,siren,2,1,0,
0fi5aogp5bg51_processed_2,10.0,-1.437440044,,,0.2,104.4916821,72.15322572,419.5367999,412.7470051,0.212442781,0.054651446,-0.04069761,1121.6436,0.065717422,0fi5aogp5bg51,5,2,"siren, metal thumping",2,1,0,
0fkhnhiw6ii61_processed_0,10.0,5.555420945,2.4,1.7,3.5,88.15457527,54.63905868,179.1961347,496.1719444,0.116599163,0.0213537,-0.00049036,2268.430331,0.001169198,0fkhnhiw6ii61,5,1,clapping,2,1,0,
0fkhnhiw6ii61_processed_1,10.0,7.522598669,3.4,2.4,2.2,93.98013283,58.48749086,169.869786,522.5496963,0.129980847,0.028875742,-0.001158233,1922.42485,0.00283108,0fkhnhiw6ii61,5,1,"clapping, people shouting",2,1,0,
0fkhnhiw6ii61_processed_2,10.0,9.699269378,2.5,1.5,2.0,90.95491169,59.0352827,195.1885375,251.5978951,0.100137653,0.01791357,-0.001595612,2063.711254,0.003194197,0fkhnhiw6ii61,5,1,,2,1,0,
0fkhnhiw6ii61_processed_3,10.0,10.22572575,3.2,2.8,2.6,92.88991284,60.42264485,213.8295767,242.6096332,0.105224916,0.01650121,-0.002381952,2212.770536,0.004440911,0fkhnhiw6ii61,5,1,,2,2,0,
0h3jkge4hj761_processed_1,10.0,2.228469846,,,0.1,103.1274394,70.62041982,88.51449387,499.0419662,0.203916192,0.053756248,-0.036821133,764.5911361,0.045861106,0h3jkge4hj761,28,1,crowd ,1,0,0,
0h3jkge4hj761_processed_10,10.0,5.621078907,0.4,0.2,0.1,108.1250929,72.57467265,97.7302017,248.1925315,0.202578175,0.047613479,-0.060963429,784.0108312,0.072935613,0h3jkge4hj761,28,1,person laughing,1,0,0,
0h3jkge4hj761_processed_11,10.0,3.470803178,,,0.1,101.9093142,68.33895338,97.67010804,189.8221785,0.189417779,0.046529206,-0.021275734,1150.685666,0.027998471,0h3jkge4hj761,28,1,crowd,1,0,0,
0h3jkge4hj761_processed_12,10.0,5.366051047,,,0.1,106.1598186,72.24088129,160.687022,518.9141146,0.192079829,0.036983058,-0.047135847,1045.46441,0.066659726,0h3jkge4hj761,28,2,crowd shouting,1,1,0,
0h3jkge4hj761_processed_13,10.0,6.819956038,,,0.2,104.6189605,70.36626373,163.5046331,523.1191053,0.184348877,0.027399724,-0.029361466,1099.374683,0.043729969,0h3jkge4hj761,28,2,"crowd cheering, clapping",1,0,0,
0h3jkge4hj761_processed_14,10.0,7.733203507,0.2,0.1,0.1,105.046841,71.30222769,106.6052413,399.629436,0.132506756,0.04567524,-0.033173057,1146.161902,0.053917053,0h3jkge4hj761,28,1,crowd,1,0,0,
0h3jkge4hj761_processed_15,10.0,2.567342837,,,0.1,103.5030527,68.66229347,101.0783954,521.081738,0.206860482,0.046777527,-0.022559947,891.3315143,0.030078755,0h3jkge4hj761,28,1,crowd ,1,0,0,
